segment,syntagme,pause,ssml
segment,,1320,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+0.00%"" rate=""+0.00%"" volume=""-10.00%""></prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,The stale smell of old beer lingers.,0,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+1.54%"" rate=""-0.55%"" volume=""-10.00%"">The stale smell of old beer lingers.</prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,,700,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+2.79%"" rate=""-0.44%"" volume=""-10.00%""></prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,It takes heat to bring out the odor.,0,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+3.79%"" rate=""-0.71%"" volume=""-10.00%"">It takes heat to bring out the odor.</prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,,760,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+3.03%"" rate=""-0.57%"" volume=""-10.00%""></prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,A cold dip restores health and zest.,0,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+1.40%"" rate=""-0.92%"" volume=""-10.00%"">A cold dip restores health and zest.</prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,,580,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+1.12%"" rate=""-0.74%"" volume=""-10.00%""></prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,A salt pickle tastes fine with ham.,0,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""-0.13%"" rate=""-1.03%"" volume=""-10.00%"">A salt pickle tastes fine with ham.</prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,,560,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""-0.10%"" rate=""-0.82%"" volume=""-10.00%""></prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,Tacos al pastor are my favorite.,0,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+1.48%"" rate=""-2.46%"" volume=""-10.00%"">Tacos al pastor are my favorite.</prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,,740,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+2.74%"" rate=""-1.97%"" volume=""-10.00%""></prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,A zestful food is the hot cross bun.,0,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+1.17%"" rate=""-3.58%"" volume=""-10.00%"">A zestful food is the hot cross bun.</prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
segment,,500,"<speak xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" version=""1.0"" xml:lang=""en-US""><voice name=""en-US-AndrewNeural""><mstts:silence type=""Leading-exact"" value=""0""/><prosody pitch=""+0.94%"" rate=""-2.86%"" volume=""-10.00%""></prosody><mstts:silence type=""Tailing-exact"" value=""0""/></voice></speak>"
